Time Stamp (ms), Temp1(T1), Temp2 (T2),Humidity (H), Pressure (P),AccelX (X), AccelY (Y), AccelZ (Z)
323004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
324004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
325004,33.33,33.35,29.38,12.40,-3.21,-2.81,-2.85
326004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
327004,33.33,33.35,29.06,12.40,-3.21,-2.81,-2.85
328004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
329005,33.31,33.35,29.38,12.40,-3.21,-2.81,-2.85
330004,33.32,33.35,28.90,12.40,-3.21,-2.81,-2.85
331004,33.32,33.35,29.06,12.40,-3.21,-2.81,-2.85
332004,33.33,33.35,29.22,12.40,-3.21,-2.81,-2.86
333004,33.31,33.35,29.06,12.40,-3.21,-2.81,-2.85
334004,33.33,33.35,29.22,12.38,-3.21,-2.81,-2.85
335004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
336004,33.33,33.35,29.38,12.40,-3.21,-2.81,-2.85
337004,33.32,33.35,29.06,12.40,-3.21,-2.81,-2.85
338004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
339004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
340004,33.33,33.35,28.59,12.38,-3.21,-2.81,-2.85
341004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
342004,33.33,33.35,29.38,12.40,-3.21,-2.81,-2.85
343004,33.32,33.35,28.90,12.40,-3.21,-2.81,-2.85
344004,33.32,33.35,29.22,12.40,-3.21,-2.81,-2.85
345005,33.33,33.35,29.06,12.38,-3.21,-2.81,-2.86
346004,33.32,33.35,29.38,12.40,-3.21,-2.81,-2.85
347004,33.31,33.35,29.38,12.40,-3.21,-2.81,-2.86
348004,33.32,33.35,28.90,12.40,-3.21,-2.81,-2.85
349004,33.32,33.35,29.06,12.38,-3.21,-2.81,-2.85
350004,33.33,33.35,29.38,12.40,-3.21,-2.81,-2.85
351004,33.31,33.35,29.06,12.40,-3.21,-2.81,-2.85
352004,33.32,33.35,29.38,12.38,-3.21,-2.81,-2.85
353004,33.33,33.35,28.90,12.38,-3.21,-2.81,-2.86
354004,33.31,33.35,28.75,12.40,-3.21,-2.81,-2.85
355004,33.32,33.35,28.90,12.38,-3.21,-2.81,-2.86
356004,33.32,33.35,29.22,12.40,-3.21,-2.81,-2.85
357004,33.33,33.35,29.06,12.38,-3.21,-2.81,-2.85
358004,33.33,33.35,29.38,12.38,-3.21,-2.81,-2.86
359004,33.32,33.35,28.75,12.38,-3.21,-2.81,-2.86
360004,33.33,33.35,28.75,12.40,-3.21,-2.81,-2.86
361005,33.33,33.35,28.75,12.40,-3.21,-2.81,-2.85
362004,33.33,33.35,29.22,12.40,-3.21,-2.81,-2.86
363004,33.32,33.36,28.75,12.40,-3.21,-2.81,-2.86
364004,33.33,33.35,29.22,12.40,-3.21,-2.81,-2.86
365004,33.33,33.36,28.90,12.40,-3.21,-2.81,-2.85
366004,33.33,33.35,29.06,12.40,-3.21,-2.81,-2.86
367004,33.33,33.35,28.90,12.40,-3.21,-2.81,-2.86
368004,33.32,33.36,29.22,12.40,-3.21,-2.81,-2.85
369004,33.32,33.36,29.06,12.38,-3.21,-2.81,-2.86
370004,33.32,33.36,29.06,12.38,-3.21,-2.81,-2.86
371004,33.32,33.35,29.06,12.40,-3.21,-2.81,-2.86
372004,33.33,33.36,29.22,12.40,-3.21,-2.81,-2.86
373004,33.33,33.36,28.90,12.38,-3.21,-2.81,-2.86
374004,33.32,33.36,28.90,12.40,-3.21,-2.81,-2.85
375004,33.32,33.36,29.22,12.40,-3.21,-2.81,-2.86
376004,33.32,33.36,29.22,12.40,-3.21,-2.81,-2.86
377005,33.33,33.36,29.06,12.40,-3.21,-2.81,-2.86
378004,33.32,33.36,28.90,12.40,-3.21,-2.81,-2.86
379004,33.33,33.36,29.22,12.38,-3.21,-2.81,-2.86
380004,33.33,33.36,28.90,12.40,-3.21,-2.81,-2.86
381004,33.33,33.36,29.06,12.40,-3.21,-2.81,-2.86
382004,33.32,33.36,29.06,12.38,-3.21,-2.81,-2.86
383004,33.32,33.36,28.90,12.40,-3.21,-2.81,-2.86
384004,33.33,33.36,29.06,12.40,-3.21,-2.81,-2.86
385004,33.33,33.36,28.90,12.38,-3.21,-2.81,-2.86
386004,33.33,33.36,28.59,12.40,-3.21,-2.81,-2.86
387004,33.33,33.36,28.75,12.38,-3.21,-2.81,-2.86
388004,33.33,33.36,28.75,12.40,-3.21,-2.81,-2.86
389004,33.33,33.36,24.02,12.40,-3.21,-2.81,-2.86
390004,33.32,33.36,29.22,12.38,-3.21,-2.81,-2.86
391004,33.33,33.36,28.75,12.40,-3.21,-2.81,-2.86
392004,33.33,33.36,28.75,12.40,-3.21,-2.81,-2.86
393005,33.33,33.36,28.90,12.40,-3.21,-2.81,-2.86
394004,33.32,33.36,29.06,12.40,-3.21,-2.81,-2.86
395004,33.34,33.36,28.75,12.40,-3.21,-2.81,-2.86
396004,33.33,33.36,28.59,12.40,-3.21,-2.81,-2.86
397004,33.34,33.36,29.22,12.40,-3.21,-2.81,-2.86
398004,33.32,33.36,28.59,12.40,-3.21,-2.81,-2.86
399004,33.34,33.36,29.06,12.40,-3.21,-2.81,-2.86
400004,33.33,33.36,29.06,12.40,-3.21,-2.81,-2.86
401004,33.34,33.36,29.22,12.40,-3.21,-2.81,-2.86
402004,33.33,33.36,29.22,12.40,-3.21,-2.81,-2.86
